IDIndikator;Indikator;mes;god;idter;nter;vrednost;CreateDate;LastUpdate;IDLegenda;nIzvorI
IND02M11;Број активних привредних друштава по NACE Rev.2  (сектор J);12;2020;70017;Александровац;5;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M12;Број активних привредних друштава по NACE Rev.2  (сектор K);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M13;Број активних привредних друштава по NACE Rev.2  (сектор L);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M14;Број активних привредних друштава по NACE Rev.2  (сектор M);12;2020;70017;Александровац;11;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M15;Број активних привредних друштава по NACE Rev.2  (сектор N);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M16;Број активних привредних друштава по NACE Rev.2  (сектор O);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M17;Број активних привредних друштава по NACE Rev.2  (сектор P);12;2020;70017;Александровац;7;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M18;Број активних привредних друштава по NACE Rev.2  (сектор Q);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M19;Број активних привредних друштава по NACE Rev.2  (сектор R);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M20;Број активних привредних друштава по NACE Rev.2  (сектор S);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M21;Број активних привредних друштава по NACE Rev.2  (сектор T);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M22;Број активних привредних друштава по NACE Rev.2  (сектор U);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M23;Број основаних привредних друштава ;12;2020;70017;Александровац;1;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M24;Број брисаних привредних друштава ;12;2020;70017;Александровац;2;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M25;Број активних привредних друштава у ликвидацији;12;2020;70017;Александровац;13;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M26;Број активних привредних друштава у стечају;12;2020;70017;Александровац;4;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M27;Број активних предузетника;12;2020;70017;Александровац;1021;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M28;Број активних предузетника по NACE Rev.2  (сектор A);12;2020;70017;Александровац;22;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M29;Број активних предузетника по NACE Rev.2  (сектор B);12;2020;70017;Александровац;1;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M30;Број активних предузетника по NACE Rev.2  (сектор C);12;2020;70017;Александровац;325;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M31;Број активних предузетника по NACE Rev.2  (сектор D);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M32;Број активних предузетника по NACE Rev.2  (сектор E);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M33;Број активних предузетника по NACE Rev.2  (сектор F);12;2020;70017;Александровац;118;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M34;Број активних предузетника по NACE Rev.2  (сектор G);12;2020;70017;Александровац;225;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M35;Број активних предузетника по NACE Rev.2  (сектор H);12;2020;70017;Александровац;45;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M36;Број активних предузетника по NACE Rev.2  (сектор I);12;2020;70017;Александровац;79;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M37;Број активних предузетника по NACE Rev.2  (сектор J);12;2020;70017;Александровац;32;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M38;Број активних предузетника по NACE Rev.2  (сектор K);12;2020;70017;Александровац;3;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M39;Број активних предузетника по NACE Rev.2  (сектор L);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M40;Број активних предузетника по NACE Rev.2  (сектор M);12;2020;70017;Александровац;61;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M41;Број активних предузетника по NACE Rev.2  (сектор N);12;2020;70017;Александровац;16;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M42;Број активних предузетника по NACE Rev.2  (сектор O);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M43;Број активних предузетника по NACE Rev.2  (сектор P);12;2020;70017;Александровац;7;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M44;Број активних предузетника по NACE Rev.2  (сектор Q);12;2020;70017;Александровац;9;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M45;Број активних предузетника по NACE Rev.2  (сектор R);12;2020;70017;Александровац;6;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M46;Број активних предузетника по NACE Rev.2  (сектор S);12;2020;70017;Александровац;72;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M47;Број активних предузетника по NACE Rev.2  (сектор T);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M48;Број активних предузетника по NACE Rev.2  (сектор U);12;2020;70017;Александровац;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M49;Број основаних предузетника;12;2020;70017;Александровац;11;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
